id,title,author,genre,story,thumbnail_url,webtoon_url
522,시한부 기사가 되었다,김두루미,판타지,"시한부의 삶을 살아가는 루이스 크로이드.
살기 위해서는 다른 생명을 죽여야 한다.

똥 밭에서 굴러도 이승이 낫다고 했던가.
또 한 번의 기회.

살아남기 위해서라면 무슨 짓이라도 할 것이다.",https://image-comic.pstatic.net/webtoon/814371/thumbnail/thumbnail_IMAG21_45b13cf0-1c9a-4582-9a03-830329440c2a.jpg,https://comic.naver.com/webtoon/list?titleId=814371&tab=sat
523,오후가 멈추도록,이이영,로맨스,"평범한 자신이 시시했던 안오후는 같은 반 학우 주새록이 시간을 멈출 수 있다는 걸 알게 된다.
자신도 특별한 존재가 되고 싶었던 안오후는 주새록과 함께 하기 위해 거짓말을 시작하고,
주새록은 안오후를 도와 겨울까지 함께 가장 긴 시간을 보내기로 한다.",https://image-comic.pstatic.net/webtoon/818188/thumbnail/thumbnail_IMAG21_2508edbf-3e47-4a22-b748-8ef4d325615e.jpg,https://comic.naver.com/webtoon/list?titleId=818188&tab=sat
524,마법사가 죽음을 맞이하는 방법,박젶,판타지,"“이제 끝내고 싶어.”
사악한 드래곤을 없애야 죽을 수 있다는 저주로 인해, 300년이라는 긴 시간을 살아온 대마법사 엔테. 
마침내 드래곤을 물리치고 안식을 맞이했으나 
눈을 뜬 곳은 사후세계가 아닌, 휘황찬란한 귀족 저택이었다. 
더군다나 마법이라곤 로맨스 판타지 소설밖에 모르는 귀족 영애의 몸에 빙의되었는데...",https://image-comic.pstatic.net/webtoon/786269/thumbnail/thumbnail_IMAG21_b3eb90c9-7e2f-4140-9c52-06a3f26a584a.jpg,https://comic.naver.com/webtoon/list?titleId=786269&tab=sat
525,최강부캐,직씨,액션,"""새로운 나를 깨워라""
체감형 VR MMORPG 게임 <에르고스피어 온라인>에서 ""힐러 셔틀""을 하던 고등학생 이오름은 
어느날 자신이 남몰래 키워둔 최강의 부캐 ""어벤져""가 되어버리고 만다. 
그리고 연이어 나타나는 몬스터들과 각종 퀘스트들. 
이오름은 모든 위기를 이겨내고 새로운 내가 될 수 있을까. 
본격 부캐 활극 현대 판타지.",https://image-comic.pstatic.net/webtoon/778580/thumbnail/thumbnail_IMAG21_7365744059571516773.jpg,https://comic.naver.com/webtoon/list?titleId=778580&tab=sat
526,동그란 그녀와 소심한 그 남자,하야마 이즈미,로맨스,"긍정적인 힘으로 살아가자! 당신을 힘나게 해줄 오버 사이즈 여자의 파워풀한 러브 스토리!
먹는 것을 너무 좋아해서 어릴 때부터 쭉 플러스 사이즈였던 간호사 마리코.
사랑과는 무관한 삶인 줄 알았는데 어느 날 선배의 권유로 참석하게 된 소개팅에서 한 남자와 만나게 된다.
게다가 데이트 신청까지?!?! 갑작스런 인기에 당황하는 연애 경험 제로 마리코가 한 행동은...",https://image-comic.pstatic.net/webtoon/812156/thumbnail/thumbnail_IMAG21_a73dc539-ab0b-400a-95cb-4fd653c438f4.jpg,https://comic.naver.com/webtoon/list?titleId=812156&tab=sat
527,너에게로 중독,무멘,로맨스,"가로등 불빛이 꺼지던 밤, 어둠에 스며든 낮은 목소리가 들려온다.

“저기요.” 고개를 돌린 세아의 시야를 맹렬히 긁으며 나타난 남자의 얼굴. 10년 전, 죽은 줄로만 알았던 사랑하는 남자가 살아 돌아왔다. 안겨오는 거대한 몸, 남자로 변한 체향.

“누나 집에 들여 보내줘.”

자신을 찾아온 열다섯 소년이 아닌 스물다섯 살의 도현과 만나게 된 세아는 떨어져 있던 시간 동안 달라진 도현에게 숨겨진 비밀을 하나씩 알게 되는데…….",https://image-comic.pstatic.net/webtoon/814595/thumbnail/thumbnail_IMAG21_dffe09d7-c1ec-4cb3-8d6d-2ac82c50ace4.jpg,https://comic.naver.com/webtoon/list?titleId=814595&tab=sat
528,청춘일지,쏘림,로맨스,"지긋지긋한 재수생활을 딛고 설레는 마음으로 들어선 대학.
대학에 대한 로망이 백만 가지쯤 되는 다봄은 첫날부터 빌런과 마주하게 되는데…
시작부터 어딘가 삐걱! 이대로 내 캠퍼스 생활 괜찮은 걸까?!",https://image-comic.pstatic.net/webtoon/797932/thumbnail/thumbnail_IMAG21_ef5d2231-8978-4ebd-8e85-8bf73437da62.jpg,https://comic.naver.com/webtoon/list?titleId=797932&tab=sat
529,연애 생각은 없지만,서울소,로맨스,"“심플하게 살래요.”
늘 하던 대로 살고 싶은 도희, 혼자가 '좋아요'하는 직장동료 동이
오피스에서 연애 생각은 없지만.. 그럴 생각은 없지만?
자꾸 자꾸 마주치는 두 사람의 내밀함 속으로 초대합니다. <연애 생각은 없지만>",https://image-comic.pstatic.net/webtoon/813329/thumbnail/thumbnail_IMAG21_b5afa8e4-8e0e-43e8-b0d2-29cef0a433c1.jpg,https://comic.naver.com/webtoon/list?titleId=813329&tab=sat
530,당신이 나를 믿으신다면,김그래프,드라마,'수민'은 우연한 기회에 사이비 종교의 신도인 '가나'의 통화를 엿듣게 된다. 길거리에서 전단지를 나눠주며 사람들을 귀찮게 하는 가나의 모습을 본 수민은 장난기가 발동해 자신이 엿들은 통화 내용으로 허풍을 떤다. 사이비 종교인에게 참교육을 했다며 기분 좋게 그 자리를 뜨는 수민. 하지만 그녀는 깨닫지 못한다. 가나에게는 그 순간이 새로운 메시아의 강림이었다는 걸.,https://image-comic.pstatic.net/webtoon/806449/thumbnail/thumbnail_IMAG21_cda9ea7c-3734-44b0-ba3f-2428f8d82854.jpg,https://comic.naver.com/webtoon/list?titleId=806449&tab=sat
531,"저무는 해, 시린 눈",MURO,드라마,"태양의 신 카리야의 가호를 받은 마녀 '힐데가르'.
고향을 잃은 북부인 '에르킨'은 마녀를 쫓아 이름 없는 성으로 향한다.",https://image-comic.pstatic.net/webtoon/746833/thumbnail/thumbnail_IMAG21_5731afd1-d1fc-4755-8de0-73055fd7cfed.jpg,https://comic.naver.com/webtoon/list?titleId=746833&tab=sat
532,소년 검사,혁씨,판타지,"세계적으로 주목받는 VR 온라인 게임, '퀘스트 히어로'. 
이곳의 네임드 유저인 '하랑'은 알 수 없는 검은 형체에 이끌려 다른 세계로 끌려간다. 
아무리 시도해 봐도 로그아웃은 되지 않고, 설상가상으로 공격까지 당하게 되는데... 
'진짜'로 아픔이 느껴지는 것도 모자라, NPC 유타가 아닌 '진짜' 유타까지 만난다. 
과연 하랑은 '7번의 퀘스트'를 모두 완료하고, 무사히 집으로 돌아갈 수 있을까!? 
낯선 세계에 떨어진 '소년 검사' 하랑의 여정이 시작된다!",https://image-comic.pstatic.net/webtoon/784582/thumbnail/thumbnail_IMAG21_e433729e-1bd9-4a35-aa16-d43bee995a62.jpg,https://comic.naver.com/webtoon/list?titleId=784582&tab=sat
533,데이팅 캣,모하,로맨스,"잘나가는 고딩 인플루언서 양아린, 사실은 데이팅앱 인기녀 냥이?!
아린은 예쁜 미모, 명품 옷과 악세사리를 자랑하며 큰 인기를 얻고 있지만
사실 어려운 집안 형편 때문에 남몰래 데이트 알바를 하며 품위 유지를 하고 있다.
어느 날, 같은 학교 남학생이 손님으로 나와 도망치게 되는데..!
그 날 이후, 익명의 누군가로부터 협박 DM이 도착한다.",https://image-comic.pstatic.net/webtoon/814039/thumbnail/thumbnail_IMAG21_59d8de35-834d-43d2-8ba4-3112f5f91439.jpg,https://comic.naver.com/webtoon/list?titleId=814039&tab=sat
534,X의 목줄을 쥐는 법,99C,로맨스,"피도 눈물도 없는 상사 '강준후'에게 매일같이 가스라이팅을 당하는 '차연우'. 그녀의 입에서는 '개X끼'라는 욕이 떠나질 않는다. 
그러던 어느 날 그녀의 욕이 준후를 정말로 ‘개’로 만들어 버린다. 그가 인간으로 돌아올 수 있는 유일한 방법은 연우와 터치 했을 때 뿐! 
317920번 욕설 끝에 주인님이 되었다.",https://image-comic.pstatic.net/webtoon/818811/thumbnail/thumbnail_IMAG21_09e257a8-5706-4cfc-ba2e-e6c4dce19d39.jpg,https://comic.naver.com/webtoon/list?titleId=818811&tab=sat
